"id" "y" "x"
"849" 836 150 110.91
"850" 837 199 183.16
"851" 838 129 101.25
"852" 839 33 14.95
"853" 840 13 9.49
"854" 841 12 15.7
"855" 842 114 56.56
"856" 843 124 63.97
"857" 844 179 229.21
"858" 845 14 13.81
"859" 846 38 28.14
"860" 847 207 219.18
"861" 848 139 86.51
"862" 849 268 158.45
"863" 850 360 258.48
"864" 851 33 18.54
"865" 852 111 62.22
"866" 853 17 10.4
"867" 854 21 13.6
"868" 855 454 198.8
"869" 856 471 310.12
"870" 857 352 354.77
"871" 858 4 0.49
"872" 859 6 2.14
"873" 860 139 65.8
"874" 861 114 113.23
"875" 862 12 14.38
"876" 863 91 37.63
"877" 864 53 44.02
"878" 865 36 27.15
"879" 866 176 129.51
"880" 867 40 65.7
"881" 868 37 23.76
"882" 869 297 146.34
"883" 870 46 31.89
"884" 871 87 38.77
"885" 872 47 39.57
"887" 873 323 127.62
"888" 874 221 115.06
"889" 875 53 31.39
"890" 876 76 72.62
"891" 877 73 111.3
"892" 878 60 39.08
"893" 879 65 107.35
"894" 880 347 149.73
"896" 881 35 37.4
"897" 882 195 82.64
"898" 883 275 165.86
"899" 884 123 59.48
"900" 885 95 134.35
"901" 886 191 68.61
"902" 887 471 264.21
"903" 888 29 29.6
"904" 889 33 21
"906" 890 45 69.78
"907" 891 8 6.63
"908" 892 13 7.89
"909" 893 235 196.54
"910" 894 72 80.64
"911" 895 14 7.95
"912" 896 49 23.29
"913" 897 205 116.88
"914" 898 146 64.6
"915" 899 137 110.53
"916" 900 6 2.62
"917" 901 10 11.91
"918" 902 367 199.27
"919" 903 28 36.44
"920" 904 203 96.7
"921" 905 132 113.12
"922" 906 504 274.4
"923" 907 202 193.91
"924" 908 7 0.83
"925" 909 13 8.71
"926" 910 38 19.2
"927" 911 7 4.13
"928" 912 175 121.87
"929" 913 408 159.15
"930" 914 51 29.23
"931" 915 49 30.65
"932" 916 189 120.71
"933" 917 104 73.63
"934" 918 84 45.83
"935" 919 22 13.03
"936" 920 393 251.91
"937" 921 108 106.78
"938" 922 30 21.58
"939" 923 40 40.06
"940" 924 7 0.32
"941" 925 13 10.98
"942" 926 63 39.75
"943" 927 94 83.68
"944" 928 20 14.09
"945" 929 356 206.56
"946" 930 131 69.2
"947" 931 192 99.43
"948" 932 159 166.96
"949" 933 77 50.12
"950" 934 28 10.3
"951" 935 338 284.53
"952" 936 38 24.85
"954" 937 84 57.1
"955" 938 104 107.37
"956" 939 151 156.68
"957" 940 62 38.95
"958" 941 22 37.33
"959" 942 23 8.26
"960" 943 87 41.75
"961" 944 22 22.89
"962" 945 33 14.96
"963" 946 267 158.31
"964" 947 386 339.96
"965" 948 129 153.28
"966" 949 105 72.59
"967" 950 11 8.93
"968" 951 63 122.69
"969" 952 52 33.3
"970" 953 23 23.71
"971" 954 39 53.28
"972" 955 85 63.37
"973" 956 126 119.01
"974" 957 17 16.76
"975" 958 175 115.81
"976" 959 238 183.11
"977" 960 60 30.14
"978" 961 187 78.6
"979" 962 117 84.93
"980" 963 151 91.03
"981" 964 40 40.52
"982" 965 257 167.91
"983" 966 3 2
"984" 967 66 49.89
